COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD,stationid,node_data_num,width_u_r
43027970,5,43210800190021,34.55433145,112.4717412,754837119.507,148.58233,0.10037,154.756536,4.860578,41654600.0,longmenzhen,39,0.0314079012468979
43027970,11,43210800190021,34.55431372,112.47172,753978982.708,148.79029,0.13889,167.446981,3.280986,41654600.0,longmenzhen,39,0.019594178290977968
42045560,0,42243100090651,45.9673524,128.750872,753508120.663,100.69057,0.09291,1003.288901,7.548269,11022450.0,tonghe,47,0.007523524871526512
42045560,3,42243100090651,45.96541603,128.7521683,763158986.675,101.21292,0.09384,1131.251278,23.889447,11022450.0,tonghe,47,0.021117719347230654
42045560,0,42243100090651,45.96507063,128.7529261,769511676.769,100.43006,0.1043,1063.940802,3.968121,11022450.0,tonghe,47,0.0037296445371215303
42045560,0,42243100090651,45.96461801,128.7532689,753287333.436,98.18329,0.16106,1047.602156,6.257177,11022450.0,tonghe,47,0.0059728561688832576
42045560,3,42243100090651,45.96680414,128.7512315,769732463.869,100.4277,0.09245,1106.088202,8.525004,11022450.0,tonghe,47,0.007707345566642252
42045560,3,42243100090651,45.96564621,128.752329,757750872.171,100.4647,0.09474,971.627956,22.469321,11022450.0,tonghe,47,0.023125436913632814
42045560,3,42243100090651,45.96592973,128.7522392,761356282.816,100.86078,0.09414,1009.000216,26.51606,11022450.0,tonghe,47,0.026279538477323772
42045560,0,42243100090651,45.96643346,128.7515015,751484628.312,100.77659,0.09734,1109.364738,5.983299,11022450.0,tonghe,47,0.005393446172434588
42045560,3,42243100090651,45.9649504,128.7524985,773337872.491,103.1952,0.09231,1198.378773,11.71118,11022450.0,tonghe,47,0.00977251956047456
42045560,3,42243100090651,45.96496499,128.7523014,770369805.038,100.89745,0.09637,979.480665,14.272611,11022450.0,tonghe,47,0.014571610762730062
42045560,3,42243100090651,45.96733055,128.7508623,758916237.081,100.26246,0.09832,1015.910183,17.225478,11022450.0,tonghe,47,0.016955709558036786
42045560,0,42243100090651,45.96481901,128.7525488,744494598.119,103.78367,0.09242,1185.281122,11.173667,11022450.0,tonghe,47,0.009427018445333848
42045560,14,42243100090651,45.96496796,128.7525043,772393297.287,102.86248,0.09497,1206.369539,12.012597,11022450.0,tonghe,47,0.009957642837996094
42045560,0,42243100090651,45.96623239,128.751684,771314382.445,101.97796,0.09802,1116.603093,5.64447,11022450.0,tonghe,47,0.005055037045289646
42045560,5,42243100090651,45.96662334,128.7513731,766985183.994,100.59045,0.09323,1048.010605,7.922625,11022450.0,tonghe,47,0.007559680180908093
42045560,3,42243100090651,45.96547972,128.752367,759553578.011,100.50638,0.09434,1063.837695,38.878276,11022450.0,tonghe,47,0.036545307787763624
42045560,14,42243100090651,45.96694829,128.7509517,759774365.515,99.68156,0.11512,972.645903,18.223013,11022450.0,tonghe,47,0.018735505844206492
42045560,5,42243100090651,45.96709717,128.7509443,756168953.077,100.43052,0.10865,1017.904656,18.595145,11022450.0,tonghe,47,0.018268061640539346
42045560,0,42243100090651,45.9652925,128.7522508,771535170.03,101.52045,0.09162,1095.631886,10.347231,11022450.0,tonghe,47,0.009444076183083999
42045560,3,42243100090651,45.96556756,128.7521989,766764396.25,100.64371,0.0918,1075.504717,11.142589,11022450.0,tonghe,47,0.010360334849186904
42045560,0,42243100090651,45.96686971,128.7511948,767708972.038,100.36038,0.09404,1095.561244,6.894525,11022450.0,tonghe,47,0.0062931443018442515
42045560,0,42243100090651,45.96617542,128.7516871,767929759.049,100.41585,0.09269,1066.629786,9.75607,11022450.0,tonghe,47,0.00914663187551374
42045560,0,42243100090651,45.96707218,128.7510206,760718941.778,100.17896,0.0975,964.450498,18.867129,11022450.0,tonghe,47,0.01956256857052294
42045560,0,42243100090651,45.96435499,128.7534778,774919790.968,100.81783,0.1602,1044.487961,1.887301,11022450.0,tonghe,47,0.001806915034418477
