stationid,w50,w_low,w_high,num
Brazil_85900000,172.08460196495116,150.29119634245896,194.30398224946867,192
Brazil_86440000,80.69328199842755,31.4991687735753,144.05320994889067,161
Brazil_86460000,96.40852718002674,46.07243036798127,212.34754374398082,170
Brazil_86470000,68.08430413735816,42.736354666543775,96.79091417819572,192
Brazil_86510000,99.65108262447906,39.2199383163641,166.2516146272961,334
Brazil_86720000,141.98526690239416,92.29919517872605,230.41125258200134,361
Brazil_87670000,47.74860718875718,33.857595828838505,61.99546395867995,175
Brazil_87905000,145.06434489541098,94.15001262644817,251.64969281250384,189
Brazil_88220000,58.3563735560435,45.871775172305426,69.89935547593865,195
Canada_01AF002,145.1056960294585,99.98022603213572,187.11773723235143,116
Canada_01BJ007,90.4950434974705,76.15592534755388,130.23726701479308,158
Canada_02AB025,63.572627448407,41.597519314279545,85.61225385983187,223
Canada_02GA003,43.0666964590948,30.9853391300157,63.5290764559614,123
Canada_02GD003,263.295763639267,237.49970792516226,295.6379093019515,287
Canada_03NF001,200.3333820794985,107.44420536711871,218.1580619351171,66
Canada_03OC003,461.338254258283,432.330400892734,530.3559216612085,49
Canada_03QC001,548.539132243116,284.8744374978049,578.6552983009207,60
Canada_03QC003,161.924624487355,102.33933377003555,165.56718576481353,48
Canada_04LD001,75.8700611751134,54.874536372668864,88.10957906037295,207
Canada_04LF001,58.432970169458095,39.91001127093057,93.64124735171652,100
Canada_05AG006,100.82684234145675,59.9159116688504,130.41257607738848,342
Canada_05BB001,62.60227756654853,43.010763884042746,81.474403066523,110
Canada_05BE004,68.1318230784004,30.618043486549723,87.23141486463186,270
Canada_05BH004,100.361814587804,91.61712255007724,114.71710763075109,209
Canada_05BH005,38.8331832203731,31.2283651363416,64.15566976029183,252
Canada_05BM002,149.82573785702402,121.91805377224713,168.96710421406266,300
Canada_05BM004,147.40038364001,88.59329837168217,185.22750891884846,335
Canada_05BN012,107.646531795801,78.33034272889455,134.26456744017392,212
Canada_05CK004,164.341194305232,76.96810499081383,222.1164504742697,362
Canada_05DC001,104.30049182758665,81.24812899851855,124.89776228055078,214
Canada_05DC010,158.36789622478975,119.19628624233341,237.10755967178056,176
Canada_05DD005,49.93174052390172,30.4665185425012,70.64058017990865,192
Canada_05DE010,145.619894083025,94.14774883342668,184.78075225419627,150
Canada_05EF001,197.234361106042,181.819876726022,201.80592941602401,239
Canada_05KG007,193.029330538376,174.67129100294926,202.09490965884373,204
Canada_05OC008,107.435080481397,89.59308436042063,116.95238448039265,296
Canada_05OJ005,217.50618201658,196.2722163527324,227.1433695900228,266
Canada_05PB009,60.056582396349455,30.1757229644134,93.26770442926124,153
