COMID,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID_x,date,COMID_y,width_u_r
42037498,42241500050111,42241500051,806644723.928,46.83212977,130.3358096,74.44012,0.09188,1138.996269,11.751095,8,1,0,0.02697189428,707.0,1,1,0,41452.15625,0.01851,193.15955945,SWOT_L2_HR_RiverSP_Node_036_103_AS_20250724T035535_20250724T040137_PID0_01.zip,18,jiamusi,42037498,2025-07-24,42037498,0.010317061890217657
42043227,42242100060591,42242100061,750540070.471,45.98669762,129.5919639,113.87498,0.09447,239.897859,8.756398,0,0,0,0.0,202.0,1,1,0,-28603.71094,0.02872,185.29699159,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,12,changjiangtun,42043227,2023-10-13,42043227,0.036500525834205134
42043227,42242100060591,42242100061,750760857.3,45.98652055,129.5920447,114.07642,0.10046,428.347556,16.360072,10,1,0,0.05740633712,202.0,1,1,0,11271.875,0.04463,185.29699159,SWOT_L2_HR_RiverSP_Node_005_103_AS_20231016T083805_20231016T084407_PGD0_01.zip,12,changjiangtun,42043227,2023-10-16,42043227,0.038193452421612505
42043227,42242100060591,42242100061,749595498.692,45.98673754,129.5920076,113.25161,0.12396,224.744495,4.254401,8396801,3,0,0.0974335106,202.0,1,1,0,63809.78906,0.08523,185.29699159,SWOT_L2_HR_RiverSP_Node_004_310_AS_20231002T205510_20231002T210205_PGD0_01.zip,12,changjiangtun,42043227,2023-10-02,42043227,0.018929945314122152
42043227,42242100060591,42242100061,751398203.358,45.98676812,129.5918977,112.83022,0.12534,219.405693,3.963591,8196,1,0,0.1707296413,202.0,1,1,0,63441.6875,0.08724,185.29699159,SWOT_L2_HR_RiverSP_Node_005_310_AS_20231023T174015_20231023T174709_PGD0_01.zip,12,changjiangtun,42043227,2023-10-23,42043227,0.018065123770512188
42043227,42242100060591,42242100061,752342775.858,45.98676354,129.5918594,113.18926,0.09376,222.984249,8.094338,0,0,0,0.0433555524,202.0,1,1,0,-28821.77734,0.0263,185.29699159,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,12,changjiangtun,42043227,2023-11-03,42043227,0.03630004377573772
42043227,42242100060591,42242100061,753200908.491,45.98658221,129.5917328,113.46031,0.13019,205.693412,4.016021,8196,1,1,0.15492897683,202.0,1,1,0,63605.21094,0.09407,185.29699159,SWOT_L2_HR_RiverSP_Node_006_310_AS_20231113T142520_20231113T143214_PGD0_01.zip,12,changjiangtun,42043227,2023-11-13,42043227,0.019524305425980295
42043227,42242100060591,42242100061,754145481.108,45.98670536,129.5919119,113.76348,0.10107,241.266348,8.80367,4,1,1,0.0,202.0,1,1,0,-28609.25977,0.04599,185.29699159,SWOT_L2_HR_RiverSP_Node_007_032_AS_20231124T124819_20231124T125510_PGD0_01.zip,12,changjiangtun,42043227,2023-11-24,42043227,0.03648942371357982
42043227,42242100060591,42242100061,754366268.08,45.98656222,129.5916887,113.59627,0.10484,256.050599,15.26201,0,0,1,0.0,202.0,1,1,0,11798.03906,0.05377,185.29699159,SWOT_L2_HR_RiverSP_Node_007_103_AS_20231127T020816_20231127T021418_PGD0_01.zip,12,changjiangtun,42043227,2023-11-27,42043227,0.05960544540651515
42043227,42242100060591,42242100061,755003614.032,45.98663737,129.5918312,112.92483,0.14634,201.061243,3.826854,8396804,3,2,0.19139578995,202.0,1,1,0,63565.04297,0.11539,185.29699159,SWOT_L2_HR_RiverSP_Node_007_310_AS_20231204T111025_20231204T111720_PGD0_01.zip,12,changjiangtun,42043227,2023-12-04,42043227,0.01903327534884483
