node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID,date
43210800030571,43210800031,748531973.249,34.71865401,112.9291675,110.62742,0.27622,73.153351,1.18285,2054,1,0,0.83490753395,108.0,1,1,0,51365.73047,0.26114,221.02968111,SWOT_L2_HR_RiverSP_Node_003_549_AS_20230920T132544_20230920T133853_PGD0_01.zip,5,heishiguan,43027816,2023-09-20
43210800200011,43210800201,748531969.119,34.55564143,112.4702768,164.02151,0.18094,216.38424,16.322577,8390663,3,0,0.0,284.0,1,1,0,13939.46875,0.15697,154.71454696,SWOT_L2_HR_RiverSP_Node_003_549_AS_20230920T132544_20230920T133853_PGD0_01.zip,1,longmenzhen,43027970,2023-09-20
43210800200021,43210800201,748531969.091,34.55411799,112.4715775,198.05523,0.30918,152.952829,13.018418,8390662,3,0,0.0,189.0,1,1,0,13939.12793,0.29579,213.60212559,SWOT_L2_HR_RiverSP_Node_003_549_AS_20230920T132544_20230920T133853_PGD0_01.zip,1,longmenzhen,43027970,2023-09-20
43210800520024,43210800524,748531972.12,34.70966523,112.6060678,113.61814,0.09473,196.255341,7.74688,8388608,3,0,0.0,75.0,1,1,0,22571.5,0.02956,241.22064436,SWOT_L2_HR_RiverSP_Node_003_549_AS_20230920T132544_20230920T133853_PGD0_01.zip,0,baimasi,43030084,2023-09-20
43210800530011,43210800531,748531972.11,34.70988462,112.603219,113.72546,0.10233,266.996414,10.772056,2,1,0,0.0,87.0,1,1,0,22375.36133,0.04869,154.11416728,SWOT_L2_HR_RiverSP_Node_003_549_AS_20230920T132544_20230920T133853_PGD0_01.zip,0,baimasi,43030084,2023-09-20
43210800530021,43210800531,748531972.114,34.70986404,112.6009821,113.65831,0.10063,108.780002,7.781571,2,1,0,0.0,155.0,1,1,0,22202.29297,0.04503,214.71661345,SWOT_L2_HR_RiverSP_Node_003_549_AS_20230920T132544_20230920T133853_PGD0_01.zip,0,baimasi,43030084,2023-09-20
42460001470291,42460001471,750799446.208,41.18482973,122.7173805,3.73766,0.81472,85.080043,0.716947,10245,1,0,0.92285845723,112.5,1,1,0,63782.16406,0.80973,224.30920723,SWOT_L2_HR_RiverSP_Node_005_116_AS_20231016T192001_20231016T192433_PGD0_01.zip,4,tangmazhai,42061735,2023-10-16
42460001470301,42460001471,750799446.187,41.18565327,122.7187868,6.76501,2.02216,116.584269,0.282437,8398853,3,0,0.99009518968,87.0,1,1,0,63633.58203,2.02016,175.75596857,SWOT_L2_HR_RiverSP_Node_005_116_AS_20231016T192001_20231016T192433_PGD0_01.zip,4,tangmazhai,42061735,2023-10-16
42481500090741,42481500091,750799430.346,42.33031166,123.8376234,52.42715,0.19333,83.566501,1.881645,4,1,0,0.55182684691,144.0,1,1,0,-56892.43359,0.1711,201.89216108,SWOT_L2_HR_RiverSP_Node_005_116_AS_20231016T192001_20231016T192433_PGD0_01.zip,17,tieling,42059330,2023-10-16
42481500090751,42481500091,750799430.326,42.33146534,123.8389311,52.61571,0.11198,96.992802,3.916803,0,0,0,0.06385414233,165.0,1,1,0,-57036.05078,0.06663,218.73534274,SWOT_L2_HR_RiverSP_Node_005_116_AS_20231016T192001_20231016T192433_PGD0_01.zip,17,tieling,42059330,2023-10-16
