COMID,q50
81001264,0.038540065
81001265,0.012734051
81001266,0.02707378
81001267,0.17482267
81001268,0.021399543
81001269,0.041137405
81001270,0.0333566
81001271,0.06910997
81001272,0.044835195
81001273,0.019105863
81001274,0.021194214
81001275,0.07259741
81001276,0.043733552
81001277,0.028982911
81001278,0.04435295
81001279,0.04796611
81001280,0.044367805
81001281,0.024895115
81001282,0.011885015
81001283,0.0111335395
81001284,0.024815353
81001285,0.02366658
81001286,0.015145289
81001287,0.03410023
81001288,0.049657684
81001289,0.029914748
81001290,0.038938355
81001291,0.021949703
81001292,0.013265942
81001293,0.03008821
81001294,0.010691866
81001295,0.028330253
81001296,0.023454376
81001297,0.018186674
81001298,0.1520494
81001299,0.0120148305
81001300,0.009579804
81001301,0.018542793
81001302,0.012393087
81001303,0.014531955
81001304,0.051992904
81001305,0.027498983
81001306,0.021445755
81001307,0.0077282237
81001308,0.01326816
81001309,0.034718703
81001310,0.019229127
81001311,0.009062886
81001312,0.03155838
81001313,0.0140197985
81001314,0.08300419
81001315,0.007827965
81001316,0.108319566
81001317,0.0038764093
81001318,0.01165938
81001319,0.07471231
81001320,0.0070637316
81001321,0.007032102
81001322,0.011486979
81001323,0.011182006
81001324,0.03169585
81001325,0.005956388
81001326,0.007014013
81001327,0.0725601
81001328,0.04452231
81001329,0.0183692
81001330,0.008577382
81001331,0.0060540233
81001332,0.03623671
81001333,0.014274564
81001334,0.010520938
81001335,0.018724976
81001336,0.02210854
81001337,0.0062548104
81001338,0.03855367
81001339,0.021035567
81001340,0.0070527606
81001341,0.015739726
81001342,0.009904658
81001343,0.022823304
81001344,0.01238567
81001345,0.005747349
81001346,0.0022524188
81001347,0.0055164397
81001348,0.003580065
81001349,0.05240539
81001350,0.019439824
81001351,0.0010735374
81001352,0.010522114
81001353,0.016869035
81001354,0.015057065
81001355,0.004053597
81001356,0.0027790482
81001357,0.019832613
81001358,0.0016499797
81001359,0.0054711145
81001360,0.0024848783
81001361,0.0026851234
81001362,0.0026519867
81001363,0.001388883
81001364,0.012723395
81001365,0.035981953
81001366,0.0023156381
81001367,0.033278614
81001368,0.00951299
81001369,0.0043337215
81001370,0.0038703443
81001371,0.004477821
