COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,stationid,node_data_num,width_u_r
82008607,522,82218000090251,65.23814819,-128.5635243,762071322.72,292.69111,0.0991,200.803843,9.619853,GRDC_4208120,71,0.047906717602013225
82008607,202,82218000090251,65.238143,-128.5628875,763015898.965,292.33236,0.11568,205.258556,9.495503,GRDC_4208120,71,0.04626117997244412
82008607,240,82218000090251,65.2384847,-128.5629744,763559912.014,292.44328,0.13187,156.665708,6.609168,GRDC_4208120,71,0.04218643686849454
82008607,412,82218000090251,65.23805398,-128.5621738,763646352.634,291.33593,0.3829,131.922183,1.934565,GRDC_4208120,71,0.014664440475488495
82008607,330,82218000090251,65.23806922,-128.5633581,763874024.636,292.94318,0.10278,515.348349,18.54614,GRDC_4208120,71,0.035987580121266675
82008607,23,82218000090251,65.23847177,-128.5639226,764818602.6,292.23998,0.14271,211.133606,7.367595,GRDC_4208120,71,0.03489541593866398
82008607,298,82218000090251,65.238184,-128.5629196,765676729.157,292.87088,0.10487,445.591644,19.095491,GRDC_4208120,71,0.042854239430037425
82008607,158,82218000090251,65.23828686,-128.5638044,766621308.311,291.37075,0.09965,215.082286,6.497142,GRDC_4208120,71,0.030207703855258446
82008607,332,82218000090251,65.23767474,-128.5646913,767165322.441,292.84608,0.2819,123.519643,1.83148,GRDC_4208120,71,0.014827439227621472
82008607,535,82218000090251,65.2377725,-128.5643316,767251763.177,292.11861,0.24352,125.21767,1.498523,GRDC_4208120,71,0.011967344544903287
82008607,511,82218000090251,65.23820323,-128.5630472,768424011.604,292.58998,0.10034,195.43139,6.767542,GRDC_4208120,71,0.0346287359466665
82008607,287,82218000090251,65.23825259,-128.5636154,768968026.441,291.795,0.10274,144.443785,4.623094,GRDC_4208120,71,0.032006181505144025
82008607,495,82218000090251,65.23822626,-128.5635582,769054467.284,291.52384,0.10361,165.423599,5.216204,GRDC_4208120,71,0.031532405482243196
82008607,268,82218000090251,65.23821911,-128.5634756,769282139.745,291.47789,0.0967,167.820198,9.105722,GRDC_4208120,71,0.0542587966676097
82008607,333,82218000090251,65.23815328,-128.5630444,770226716.652,291.94579,0.09953,195.613512,6.130892,GRDC_4208120,71,0.031341863541614653
82008607,81,82218000090251,65.23824454,-128.5634291,770770732.259,292.04058,0.10403,152.398447,4.628905,GRDC_4208120,71,0.030373701905243165
82008607,621,82218000090251,65.23813396,-128.5631825,770857173.272,292.81209,0.10359,207.418672,5.016514,GRDC_4208120,71,0.024185450382210528
82008607,42,82218000090251,65.23807461,-128.563145,772029422.081,291.9803,0.09793,183.410668,6.067256,GRDC_4208120,71,0.03308016957879462
82008607,759,82218000090251,65.23825676,-128.563438,772573435.832,292.07473,0.1049,138.07985,4.452888,GRDC_4208120,71,0.032248644534303886
82008607,2,82218000090251,65.23813605,-128.5630534,772659876.565,292.21979,0.10295,185.174901,5.103358,GRDC_4208120,71,0.02755966371490054
82008607,414,82218000090251,65.23831179,-128.5633743,772887548.697,291.93616,0.09724,139.179596,7.698739,GRDC_4208120,71,0.05531514116480119
82008607,107,82218000090251,65.23822064,-128.563152,773832124.894,292.4882,0.09795,204.279107,6.311428,GRDC_4208120,71,0.03089610138152797
82008607,757,82218000090251,65.23821821,-128.5635268,774376139.96,292.15376,0.1031,145.697882,4.54605,GRDC_4208120,71,0.031201894890963484
